machine	quiet_state	s	n	t
0RB---_1LC0LC_1LD1RD_1RB1LD	A	0	2	256
0RB---_1LC0LC_1RB1RD_1LB1RC	A	0	2	256
0RB---_1LC0LC_1RB1RD_1LB1RD	A	0	2	256
0RB---_1LC0LC_1RB1RD_1RB1LD	A	0	2	64
0RB---_1LC0LC_1RC1RD_1LB1RD	A	0	2	64
0RB---_1LC0LC_1RC1RD_1RB1LD	A	0	2	1024
0RB---_1LC0LC_1RD---_0RB1LD	A	0	2	64
0RB---_1LC0LC_1RD0RC_1LB0RC	A	0	2	256
0RB---_1LC0LC_1RD1LC_0RB1LB	A	0	2	64
0RB---_1LC0LC_1RD1LD_0RB1LC	A	0	2	64
0RB---_1LC0LC_1RD1RD_1RB1LD	A	0	2	64
0RB---_1LC0LD_0RC1RD_1LB0RB	A	0	3	256
0RB---_1LC0LD_1LD1LC_1RB1RD	A	0	2	1024
0RB---_1LC0LD_1RB0LB_0RC1RD	A	0	3	256
0RB---_1LC0LD_1RB1LC_---1RC	A	0	2	1024
0RB---_1LC0LD_1RB1LC_1RB1RD	A	0	2	1024
0RB---_1LC0LD_1RD0LC_1LB0RC	A	0	4	256
0RB---_1LC0LD_1RD0RB_1LB0RC	A	0	3	256
0RB---_1LC0RB_0LD1LB_0RD1RB	A	0	2	64
0RB---_1LC0RB_0LD1LC_0RD1RB	A	0	2	64
0RB---_1LC0RB_1RD0LD_1RC1RB	A	0	2	64
0RB---_1LC0RB_1RD0LD_1RD1RB	A	0	2	64
0RB---_1LC0RC_0LD1LD_1RB1LC	A	0	2	1024
0RB---_1LC0RC_0LD1LD_1RB1LD	A	0	2	1024
0RB---_1LC0RC_0LD1RC_1RB1LD	A	0	2	1024
0RB---_1LC0RC_0RD1LB_1LB1RD	A	0	2	256
0RB---_1LC0RC_0RD1LB_1LC1RD	A	0	2	64
0RB---_1LC0RC_0RD1LB_1RB1RD	A	0	2	64
0RB---_1LC0RC_0RD1LD_1LB1RD	A	0	2	64
0RB---_1LC0RC_1LD0LB_0RD1RB	A	0	3	1024
0RB---_1LC0RC_1LD0LC_1RB0LC	A	0	2	256
0RB---_1LC0RC_1LD1LC_1RB1RD	A	0	2	64
0RB---_1LC0RC_1RB0RD_0LB1LD	A	0	3	64
0RB---_1LC0RC_1RB1LD_0RD0LB	A	0	3	64
0RB---_1LC0RC_1RC1LD_1LB1RD	A	0	2	1024
0RB---_1LC0RC_1RD1LB_0LC1RD	A	0	2	1024
0RB---_1LC0RC_1RD1LB_1LB1RD	A	0	2	64
0RB---_1LC0RC_1RD1LB_1LC1RD	A	0	2	256
0RB---_1LC0RC_1RD1LB_1RB1RD	A	0	2	256
0RB---_1LC0RC_1RD1LD_1LB1RD	A	0	2	256
0RB---_1LC0RC_1RD1LD_1RB0LD	A	0	2	64
0RB---_1LC0RC_1RD1RC_0RB1LD	A	0	2	256
0RB---_1LC0RD_0RB0LB_1RB---	A	0	3	256
0RB---_1LC0RD_0RB1LB_1RB1RB	A	0	2	64
0RB---_1LC0RD_0RD0LB_1RB0RD	A	0	3	256
0RB---_1LC0RD_0RD0LB_1RB1LD	A	0	3	64
0RB---_1LC0RD_0RD0LC_1LB1RB	A	0	2	256
0RB---_1LC0RD_0RD1LB_1RB0LC	A	0	2	256
0RB---_1LC0RD_0RD1LD_1LC1RB	A	0	2	1024
0RB---_1LC0RD_1LD0LB_1RB0RC	A	0	3	64
0RB---_1LC0RD_1LD0LC_1RB1RD	A	0	2	256
0RB---_1LC0RD_1LD0LD_1RB0RD	A	0	2	256
0RB---_1LC0RD_1LD1LB_0RB1RB	A	0	2	1024
0RB---_1LC0RD_1LD1LB_1RB1RB	A	0	3	64
0RB---_1LC0RD_1LD1LC_1RB1RD	A	0	2	256
0RB---_1LC0RD_1RB0LD_1RB0RD	A	0	2	256
0RB---_1LC0RD_1RB1LB_0LB1RB	A	0	3	256
0RB---_1LC0RD_1RB1LB_0LD1RB	A	0	3	256
0RB---_1LC0RD_1RB1LB_1LB1RB	A	0	3	256
0RB---_1LC0RD_1RB1LC_0LB1LC	A	0	2	256
0RB---_1LC0RD_1RB1LC_0LC0RB	A	0	2	256
0RB---_1LC0RD_1RB1LC_0LC1LC	A	0	2	1024
0RB---_1LC0RD_1RB1LC_0LC1RD	A	0	2	1024
0RB---_1LC0RD_1RB1LC_1LB1LC	A	0	2	64
0RB---_1LC0RD_1RB1LC_1LD1LC	A	0	2	64
0RB---_1LC0RD_1RB1LC_1RC1RD	A	0	2	256
0RB---_1LC0RD_1RB1LD_0LC1LC	A	0	2	1024
0RB---_1LC0RD_1RB1LD_1LB1LC	A	0	2	64
0RB---_1LC0RD_1RD0LB_0LB1RC	A	0	2	1024
0RB---_1LC0RD_1RD0LD_1RB0RD	A	0	2	256
0RB---_1LC0RD_1RD1LB_0LB1RB	A	0	2	256
