machine	quiet_state	s	n	t
0RB---_1LA1RC_1RD0LC_1LD1LC	B	3	2	64
0RB---_1LA1RC_1RD0LD_1LC0RC	B	3	3	64
0RB---_1LA1RC_1RD0RD_1LD1RC	B	3	2	64
0RB---_1LA1RC_1RD1LC_0LC0LD	B	3	2	64
0RB---_1LA1RC_1RD1LC_0LC1LD	B	3	2	64
0RB---_1LC---_0LD0LC_1RC1LD	B	1	2	64
0RB---_1LC---_0LD1LC_1RC1LD	B	1	2	64
0RB---_1LC---_0RC1RD_1LC0RD	B	1	2	64
0RB---_1LC---_0RC1RD_1RB0RB	A	0	2	64
0RB---_1LC---_1LD0RC_0RD1RC	B	1	2	64
0RB---_1LC---_1LD0RC_1RD1RC	B	1	2	64
0RB---_1LC---_1LD1RC_0RC0RD	B	1	2	64
0RB---_1LC---_1LD1RC_0RC1RD	B	1	2	64
0RB---_1LC---_1RC0RD_1RB0RB	A	0	2	64
0RB---_1LC---_1RC1LD_1LC0LC	B	1	2	1024
0RB---_1LC---_1RC1RD_1LC0RD	B	1	2	64
0RB---_1LC---_1RC1RD_1RB0RB	A	0	2	64
0RB---_1LC---_1RD0LC_0LD1LC	B	1	2	64
0RB---_1LC---_1RD0LC_1LD1LC	B	1	2	64
0RB---_1LC---_1RD0RD_1LD1RC	B	1	2	64
0RB---_1LC0LB_0LD0LB_1RC1LD	A	0	2	64
0RB---_1LC0LB_0LD1LB_1RC1LD	A	0	2	64
0RB---_1LC0LB_0LD1LD_1RB---	A	0	2	64
0RB---_1LC0LB_0LD1LD_1RC1RB	A	0	2	64
0RB---_1LC0LB_0RC1RD_0LD1LB	A	0	2	64
0RB---_1LC0LB_0RD1LD_1LB1RB	A	0	2	64
0RB---_1LC0LB_1LD0LD_1RC1RB	A	0	2	64
0RB---_1LC0LB_1RC0RD_1LB0LD	A	0	2	256
0RB---_1LC0LB_1RD0LC_0LB0RD	A	0	2	256
0RB---_1LC0LB_1RD0LC_1LB1RB	A	0	2	256
0RB---_1LC0LB_1RD0LD_1LB1RB	A	0	2	64
0RB---_1LC0LB_1RD1LD_1LB0RC	A	0	4	1024
0RB---_1LC0LC_0LD0LB_1RC1LD	A	0	2	64
0RB---_1LC0LC_0LD1LB_1RC1LD	A	0	2	64
0RB---_1LC0LC_1RB1RD_0LB1LD	A	0	2	64
0RB---_1LC0LC_1RB1RD_1LB0LD	A	0	2	64
0RB---_1LC0LC_1RB1RD_1LB0RB	A	0	2	256
0RB---_1LC0LC_1RB1RD_1LB1LD	A	0	2	64
