census_machine	upstream_tnf	upstream_status	cert_family	list	mode	nstates_after	dropped
0RB---_0LC1RD_1LD0LC_0RB1LC	1RB0RA_0LC1RA_0RA1LB	none		B	reroot	3	1
0RB---_0LC1RD_1LD0LD_0RB1LC	1RB0RB_0LC1RA_0RA1LB	none		B	reroot	3	1
0RB---_0LC1RD_1LD1LB_1RB0RD	1RB1RC_1LC0LB_0RA1LB	none		B	reroot	3	1
0RB---_0LC1RD_1LD1LC_1RB0RD	1RB1RA_1LC0LB_0RA1LB	none		B	reroot	3	1
0RB---_0LC1RD_1LD1LC_1RD1RB	1RB1RA_1LB1LC_0RA1LB	none		B	reroot	3	1
0RB---_0LC1RD_1RB0LD_1LC0RD	1RB0LC_0LA1RC_1LA0RC	none		B	reroot	3	1
0RB---_0LC1RD_1RB1LC_0LC0RB	1RB1LA_0LA1RC_0LA0RB	none		B	reroot	3	1
0RB---_0LC1RD_1RB1LC_0LC0RC	1RB1LA_0LA1RC_0LA0RA	none		B	reroot	3	1
0RB---_0LC1RD_1RB1LC_0LC1LD	1RB1LA_0LA1RC_0LA1LC	none		B	reroot	3	1
0RB---_0LC1RD_1RB1LC_0LC1RB	1RB1LA_0LA1RC_0LA1RB	none		B	reroot	3	1
0RB---_0LC1RD_1RB1LC_0LC1RD	1RB1LA_0LA1RC_0LA1RC	none		B	reroot	3	1
0RB---_0LC1RD_1RB1LC_0LD0RB	1RB1LA_0LA1RC_0LC0RB	none		B	reroot	3	1
0RB---_0LC1RD_1RB1LC_0LD1RB	1RB1LA_0LA1RC_0LC1RB	none		B	reroot	3	1
0RB---_0LC1RD_1RB1LC_0RB0LD	1RB1LA_0LA1RC_0RB0LC	none		B	reroot	3	1
0RB---_0LC1RD_1RB1LC_0RB0RC	1RB1LA_0LA1RC_0RB0RA	none		B	reroot	3	1
0RB---_0LC1RD_1RB1LC_0RB0RD	1RB1LA_0LA1RC_0RB0RC	none		B	reroot	3	1
0RB---_0LC1RD_1RB1LC_1LB0LD	1RB1LA_0LA1RC_1LB0LC	none		B	reroot	3	1
0RB---_0LC1RD_1RB1LC_1LB0RB	1RB1LA_0LA1RC_1LB0RB	none		B	reroot	3	1
0RB---_0LC1RD_1RB1LC_1LB1LD	1RB1LA_0LA1RC_1LB1LC	none		B	reroot	3	1
0RB---_0LC1RD_1RB1LC_1LC0RC	1RB1LA_0LA1RC_1LA0RA	none		B	reroot	3	1
0RB---_0LC1RD_1RB1LC_1LC0RD	1RB1LA_0LA1RC_1LA0RC	none		B	reroot	3	1
0RB---_0LC1RD_1RB1LC_1LD0LB	1RB1LA_0LA1RC_1LC0LB	none		B	reroot	3	1
0RB---_0LC1RD_1RB1LC_1RB0RB	1RB1LA_0LA1RC_1RB0RB	none		B	reroot	3	1
0RB---_0LC1RD_1RB1LC_1RB0RC	1RB1LA_0LA1RC_1RB0RA	none		B	reroot	3	1
0RB---_0LC1RD_1RB1LC_1RB0RD	1RB1LA_0LA1RC_1RB0RC	none		B	reroot	3	1
0RB---_0LC1RD_1RB1LC_1RC0RC	1RB1LA_0LA1RC_1RA0RA	none		B	reroot	3	1
0RB---_0LC1RD_1RB1LD_1LC0RD	1RB1LC_0LA1RC_1LA0RC	none		B	reroot	3	1
