machine,status,anchor,k0,meta_a,meta_b,kmin,nrules,qh,score
1RB0LC_1LA0RD_1LB1RD_0LB1RC,undecided,0,0,0,0,0,0,?,0
1RB0LC_1LA1LC_1LB0RD_0LC1RD,undecided,0,0,0,0,0,0,?,0
1RB0LC_1LA1LD_0RD1LA_1LC1RD,undecided,0,0,0,0,0,0,?,0
1RB0LC_1LA1RA_0LD0LA_0RD1RA,undecided,0,0,0,0,0,0,?,0
1RB0LC_1LA1RC_1LD0RB_0RC0LD,undecided,0,0,0,0,0,0,?,0
1RB0LC_1LA1RD_0LB1LD_1RD0LA,irules,199996,6059,1,1,1,0,F,0
1RB0LC_1LC---_1RD0LB_0RD0LA,undecided,0,0,0,0,0,0,?,0
1RB0LC_1LC0RB_1LD0LD_0RA1RA,undecided,0,0,0,0,0,0,?,0
1RB0LC_1LC0RC_1LA1RD_0RA1LA,irules,199396,157,1,1,6,1,F,0
1RB0LC_1LC0RC_1LA1RD_0RA1LD,irules,199712,157,1,1,6,1,F,0
1RB0LC_1RC0RA_1LA0LD_1LC1LB,irules,199997,4544,1,1,1,0,F,0
1RB0LC_1RC0RC_1LA1RD_1LC0RA,irules,199092,140,1,1,6,1,F,0
1RB0LC_1RC1LB_1LA1RD_1LB0RB,irules,199693,258,1,1,2,1,T,4
1RB0LC_1RC1LD_1RD0RB_0LB1LA,irules,199999,66181,1,1,2,0,T,1460
1RB0LC_1RC1RD_0RD1LC_1LA1RD,irules,190311,103,1,2,2,1,T,2
1RB0LD_0LB1LC_1LA1RC_0RC1LD,irules,195938,104,1,2,2,1,T,2
1RB0LD_0LC0RA_1LD1LC_1LA0LA,irules,199983,4442,1,1,2,0,F,0
1RB0LD_0LC1RA_0RA1LC_1LA1LA,irules,88913,255,2,1,9,4,F,0
1RB0LD_0LC1RA_0RD1LC_0RA1LA,undecided,0,0,0,0,0,0,?,0
1RB0LD_0LC1RA_1LA1LA_0RB1LD,undecided,0,0,0,0,0,0,?,0
1RB0LD_0RC0RD_0LD1RA_1LA0LC,irules,196812,79,1,1,4,4,F,0
1RB0LD_0RC1LB_1LA1RC_0RC1LD,irules,195936,105,1,2,3,1,F,0
1RB0LD_1LB0RC_1RC1LD_1LA0RB,undecided,0,0,0,0,0,0,?,0
1RB0LD_1LB1LC_1RC0LA_1RD1LC,irules,199996,9524,1,1,3,1,T,3
1RB0LD_1LB1RC_0RC1RD_1LA0LD,undecided,0,0,0,0,0,0,?,0
