# spec	class	quietest_last_fire_in_1e8 (-1: EDGE/HALT)
0RB0LA_1RC1LC_1LA1LD_0RC1RD	DN	99999987
0RB0LA_1RC1LC_1LA1RD_0RC1RB	DN	99999969
0RB0LA_1RC1LD_0RD0LA_1LA0LB	DN	99999978
0RB0LA_1RC1LD_0RD0LD_1LA1RB	DN	99999986
0RB0LA_1RC1LD_0RD0RD_1LA0LB	DN	99999966
0RB0LA_1RC1LD_0RD1RC_1LA---	DN	99999990
0RB0LA_1RC1LD_0RD1RD_1LA1RB	DN	99999991
0RB0LA_1RC1LD_1LA0RC_0LD0LA	DN	99999988
0RB0LA_1RC1LD_1LA0RC_0LD1RC	DN	99999990
0RB0LA_1RC1LD_1LA0RC_1RD1RB	DN	99999987
0RB0LA_1RC1LD_1LB1RC_0RA1LA	DN	99999989
0RB0LA_1RC1LD_1LB1RC_0RC1LA	DN	99999986
0RB0LA_1RC1RB_0LC1LD_0RB1LA	DN	99999980
0RB0LA_1RC1RB_0LC1LD_0RD1LA	DN	99999989
0RB0LA_1RC1RB_0LD0RC_1LD1LA	DN	99999972
0RB0LA_1RC1RB_0LD0RD_1LD1LA	DN	99999985
0RB0LA_1RC1RB_0LD1LC_0RA1LA	DN	99999983
0RB0LA_1RC1RB_0LD1LC_0RD1LA	DN	99999989
0RB0LA_1RC1RB_0RD---_1LD1LA	DN	99999983
0RB0LA_1RC1RB_0RD1RB_1LD0LA	DN	99999983
0RB0LA_1RC1RB_1LA0LD_0RB1LD	DN	99999988
0RB0LA_1RC1RB_1LA0LD_0RC1LD	DN	99999985
0RB0LA_1RC1RB_1LA0RD_1LD1LA	DN	99999986
0RB0LA_1RC1RB_1LA1LD_0RB1LD	DN	99999990
0RB0LA_1RC1RB_1LA1RD_0LB---	DN	99999990
0RB0LA_1RC1RB_1LA1RD_1LB---	DN	99999988
0RB0LA_1RC1RB_1LC1LD_0RA1LA	DN	99999976
0RB0LA_1RC1RB_1LC1LD_0RB1LA	DN	99999989
0RB0LA_1RC1RB_1LC1LD_0RD1LA	DN	99999976
0RB0LA_1RC1RB_1LD---_---1LA	DN	99999991
