machine,status,anchor,k0,meta_a,meta_b,kmin,nrules,qh,score
0RB0LA_1RC1RD_1LC1RB_0LD1LA,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1RD_1LD1RD_1RB1LA,undecided,0,0,0,0,0,0,?,0
0RB0LB_0LC0LC_0RD1LA_1LC1RD,irules,199956,947,1,1,1,0,F,0
0RB0LB_0LC0RC_1LD1RA_1LA0LA,irules,198458,104,1,1,6,2,F,0
0RB0LB_0LC0RC_1LD1RA_1LA0LC,irules,199597,108,1,1,7,2,F,0
0RB0LB_0LC1LB_0RD1LA_1LC1RD,irules,89398,510,2,2,2,1,F,0
0RB0LB_0LC1RA_1RB1LD_0RB1LC,undecided,0,0,0,0,0,0,?,0
0RB0LB_0LC1RA_1RB1LD_0RD1LC,undecided,0,0,0,0,0,0,?,0
0RB0LB_0LC1RA_1RB1LD_1LA1LC,undecided,0,0,0,0,0,0,?,0
0RB0LB_0LC1RA_1RB1LD_1LC1LC,undecided,0,0,0,0,0,0,?,0
0RB0LB_0LC1RA_1RB1LD_1RA1LC,undecided,0,0,0,0,0,0,?,0
0RB0LB_0LC1RA_1RB1LD_1RB1LC,undecided,0,0,0,0,0,0,?,0
0RB0LB_0LC1RA_1RB1LD_1RC1LC,undecided,0,0,0,0,0,0,?,0
0RB0LB_0LC1RD_1LA0RD_1RC0RB,irules,199238,79,1,1,5,2,F,0
0RB0LB_0LC1RD_1RB1LC_0RB1RA,undecided,0,0,0,0,0,0,?,0
0RB0LB_0RC0LA_1LD1RD_1LB1RC,undecided,0,0,0,0,0,0,?,0
0RB0LB_0RC0LA_1RD1RC_1LA1LD,undecided,0,0,0,0,0,0,?,0
0RB0LB_0RC0LB_1LD1RC_0LA1LA,undecided,0,0,0,0,0,0,?,0
0RB0LB_0RC0LD_1LB1RC_0LA1LA,undecided,0,0,0,0,0,0,?,0
0RB0LB_0RC0LD_1LB1RC_0RC1LA,undecided,0,0,0,0,0,0,?,0
0RB0LB_0RC0LD_1LD1RC_0LA1LA,undecided,0,0,0,0,0,0,?,0
0RB0LB_0RC0LD_1LD1RC_0RC1LA,undecided,0,0,0,0,0,0,?,0
0RB0LB_0RC1LB_1LA1RD_0LD1RC,undecided,0,0,0,0,0,0,?,0
0RB0LB_0RC1LB_1LA1RD_1LA1RC,undecided,0,0,0,0,0,0,?,0
0RB0LB_0RC1LB_1LA1RD_1LA1RD,irules,197791,83,1,1,3,1,F,0
0RB0LB_0RC1LB_1LD1RC_0LA1LA,undecided,0,0,0,0,0,0,?,0
0RB0LB_0RC1LB_1LD1RC_0RB1LA,undecided,0,0,0,0,0,0,?,0
0RB0LB_0RC1LB_1LD1RC_0RC1LA,undecided,0,0,0,0,0,0,?,0
0RB0LB_0RC1LB_1LD1RC_0RD1LA,undecided,0,0,0,0,0,0,?,0
0RB0LB_0RC1LB_1LD1RC_1LA0RA,irules,195977,65,1,1,3,1,F,0
0RB0LB_0RC1LB_1LD1RC_1LA1LA,irules,196374,66,1,1,2,1,F,0
0RB0LB_0RC1LB_1LD1RC_1RA1LA,irules,196770,66,1,1,2,1,F,0
0RB0LB_0RC1LB_1LD1RD_1LA1RD,irules,190426,104,1,2,3,1,F,0
0RB0LB_0RC1LB_1RD1RC_1LD0LA,irules,197541,83,1,1,3,1,F,0
0RB0LB_0RC1LC_1RD1LA_1LB1RD,undecided,0,0,0,0,0,0,?,0
0RB0LB_0RC1LD_1LA1RC_0LA0LB,undecided,0,0,0,0,0,0,?,0
0RB0LB_0RC1LD_1LA1RC_0LA0LD,undecided,0,0,0,0,0,0,?,0
0RB0LB_0RC1LD_1LA1RC_0LA1LA,undecided,0,0,0,0,0,0,?,0
0RB0LB_0RC1LD_1LA1RC_0LA1RA,undecided,0,0,0,0,0,0,?,0
0RB0LB_0RC1LD_1LA1RC_0LA1RD,undecided,0,0,0,0,0,0,?,0
0RB0LB_0RC1LD_1LA1RC_0RC1LB,undecided,0,0,0,0,0,0,?,0
0RB0LB_0RC1LD_1LA1RC_0RC1LD,irules,197791,83,1,1,3,1,F,0
0RB0LB_0RC1LD_1LA1RC_0RD1LB,undecided,0,0,0,0,0,0,?,0
0RB0LB_0RC1LD_1LB1RC_0LA1LA,undecided,0,0,0,0,0,0,?,0
0RB0LB_0RC1LD_1LB1RC_0LB0LA,undecided,0,0,0,0,0,0,?,0
0RB0LB_0RC1LD_1LB1RC_0LB1LA,undecided,0,0,0,0,0,0,?,0
0RB0LB_0RC1LD_1LB1RC_0RA1LA,undecided,0,0,0,0,0,0,?,0
0RB0LB_0RC1LD_1LB1RC_0RC1LA,undecided,0,0,0,0,0,0,?,0
0RB0LB_0RC1LD_1LB1RC_1LB0LA,undecided,0,0,0,0,0,0,?,0
0RB0LB_0RC1LD_1LB1RC_1LB1LA,undecided,0,0,0,0,0,0,?,0
0RB0LB_0RC1LD_1LB1RC_1LC0LA,irules,199999,2898,1,1,1,0,F,0
0RB0LB_0RC1LD_1LB1RC_1RC0LA,undecided,0,0,0,0,0,0,?,0
0RB0LB_0RC1LD_1LB1RC_1RC1LA,undecided,0,0,0,0,0,0,?,0
0RB0LB_0RC1LD_1LB1RC_1RD1LA,undecided,0,0,0,0,0,0,?,0
0RB0LB_0RC1LD_1LD1RC_0LA1LA,undecided,0,0,0,0,0,0,?,0
