machine,list,wave4_status,mxdys_status,mxdys_decider,match_kind
0RB0LA_1RC1RB_0RD---_1LD1LA,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_4_2_2_600,direct
0RB0LA_1RC1RB_1LA0LD_0RB1LD,listC,unboarded,,,no-match
0RB0LA_1RC1RB_1LA1RD_0LB---,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LA_1RC1RB_1LA1RD_1LB---,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_3_3_1600,direct
0RB0LA_1RC1RB_1LD---_---1LA,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_4_2_2_600,direct
0RB0LA_1RC1RB_1LD0RC_1LB0LA,listC,unboarded,,,no-match
0RB0LA_1RC1RB_1RD---_1LA0LB,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LA_1RC1RB_1RD---_1LA1LB,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_3_3_1600,direct
0RB0LA_1RC1RD_0LB1RB_1LA---,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LA_1RC1RD_0LD---_1RB1LA,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LA_1RC1RD_1LA0LB_1RB---,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LA_1RC1RD_1LA0RD_1LD1RB,listC,unboarded,,,no-match
0RB0LA_1RC1RD_1LA1LB_---1RB,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LA_1RC1RD_1LB1RB_---1LA,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LA_1RC1RD_1LC1LA_---1RB,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LA_1RC1RD_1LD---_1LA1RB,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_3_3_1600,direct
0RB0LA_1RC1RD_1LD1RB_---1LA,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LB_0RC0LA_1LB1RD_1RC---,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LB_0RC0LA_1RD---_1LA1RC,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LB_0RC0LB_1RD---_1LA1RC,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LB_0RC1LA_1LB1RD_1LA1RC,listC,unboarded,,,no-match
0RB0LB_0RC1LA_1LB1RD_1LC1RC,listC,unboarded,,,no-match
0RB0LB_0RC1LA_1LB1RD_1RC0LA,listC,unboarded,,,no-match
0RB0LB_0RC1LA_1LB1RD_1RC0LC,listC,unboarded,,,no-match
0RB0LB_0RC1LA_1LB1RD_1RC1RC,listC,unboarded,,,no-match
0RB0LB_0RC1LB_1LA1RD_1RC0LB,listC,unboarded,,,no-match
0RB0LB_0RC1LB_1RD0LB_1LA1RC,listC,unboarded,,,no-match
0RB0LB_0RC1LD_1LB1RC_0RA0LB,listC,unboarded,,,no-match
0RB0LB_0RC1LD_1RD0LA_1LA1RC,listC,unboarded,,,no-match
0RB0LB_1LC1LA_1RD1RC_0LA0RC,listC,unboarded,,,no-match
0RB0LB_1LC1RA_0LD0LC_1RD1LB,listC,fuel,,,no-match
0RB0LB_1LC1RD_0RD0LC_1RB1LA,listC,unboarded,,,no-match
0RB0LB_1RC0LA_1LB1RD_1RC---,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LB_1RC0LA_1RD---_1LA1RC,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LB_1RC0LC_1RD0LA_1LB1RB,listC,unboarded,,,no-match
0RB0LC_0LC0LA_0RD1LA_1LC1RD,listC,unboarded,,,no-match
