machine,status,anchor,k0,meta_a,meta_b,kmin,nrules,qh,score
0RB0LC_1LC1RB_1RD1LA_0LB0RD,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_0LB1LA,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_0LB1LB,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_0LB1LC,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_0LB1RB,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_0LB1RC,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_0LB1RD,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_0LC0LA,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_0LC0LB,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_0LC0LC,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_0LC0LD,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_0LC0RC,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_0LC0RD,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_0LC1LA,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_0LC1LB,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_0LC1LC,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_0LC1LD,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_0LC1RB,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_0LC1RC,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_0LC1RD,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_0LD1LA,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_0LD1LB,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_0LD1RB,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_0RD1LB,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_1LB0LA,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_1LB0LB,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_1LB0LC,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_1LB0RC,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_1LB0RD,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_1LB1LA,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_1LB1LB,undecided,0,0,0,0,0,0,?,0
